title,price,img,description
"Hyundai Santa Fe , 2023",31251$ ,https://i.cars.kg/preview/r/9fHPlKVrM5YN6o0UbExCwQ/1080x-/20231211/d4a4facb89937c91b9560279975db478.png,"Внедорожник/Пикап,черный,2.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Lixiang Li9, 2023",67000$ ,https://i.cars.kg/preview/r/ZI2zl7hlCp3NgNXXMjG0Cg/1080x-/20231211/2b3598ecb96ca4904651a8942e0adda4.jpg,"Внедорожник/Пикап,черный,1.5л.,левыйруль,гибрид,автомат,постоянныйполный,"
"Hyundai Santa Fe , 2022",25813$ ,https://i.cars.kg/preview/r/3ZYwV-gkodVwT32Szgqwjw/1080x-/20231211/e0ed4aabec655eeb71170d9d6122669b.png,"Внедорожник/Пикап,белый,2.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Hyundai Santa Fe , 2021",30563$ ,https://i.cars.kg/preview/r/RW2cQ4Pn45MHL4OlyBJw5w/1080x-/20231211/10cbb3698703fd44208dbdf15c1cbfad.png,"Внедорожник/Пикап,серебряный,2.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Hyundai , 2020",18346$ ,https://i.cars.kg/preview/r/X73YxWxe85ztXwvLmQuI2Q/1080x-/20231211/ee0da35b2c95f3468ff71f1168b4992c.png,"Внедорожник/Пикап,серебряный,2.4л.,левыйруль,бензин,автомат,постоянныйполный,"
"Hyundai , 2023",24596$ ,https://i.cars.kg/preview/r/j6Q1jnCIKFNHblhTM_oaSg/1080x-/20231211/6eaa8bcc2480a98c1893c91645a12565.png,"Внедорожник/Пикап,бордовый,2.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Kia Morning , 2017",9970$ ,https://i.cars.kg/preview/r/0IHtalE-_9pj3VGGM5WuaA/1080x-/20231211/95309086d5cb0389368f23c262ec268d.jpeg,"Хэтчбек,мокрыйасфальт,1.0л.,левыйруль,бензин,автомат,передний,"
"Hyundai , 2022",23640$ ,https://i.cars.kg/preview/r/muYl_VZOohxQchHsMYTthQ/1080x-/20231211/51c062f7175a5098f4252e66ee0e6473.png,"Внедорожник/Пикап,бордовый,2.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Haval , 2023",29800$ ,https://i.cars.kg/preview/r/wEMm3CxEuceiPZslL3gSgQ/1080x-/20231211/cb8f55f195b1b004ceeb0d1614f9d835.jpg,"Внедорожник/Пикап,черный,2л.,левыйруль,бензин,автомат,постоянныйполный,"
"Toyota Camry , 2017",16500$ ,https://i.cars.kg/preview/r/fhvnR0x3sN6LEsdNGxVCag/1080x-/20231211/afc82678464436010b1bf1bfa342a640.jpg,"Седан,черный,2.5л.,левыйруль,бензин,автомат,передний,"
"BMW X5 , 2018",42000$ ,https://i.cars.kg/preview/r/RM5seo4EefSezYF00BMRBw/1080x-/20231211/84bb5c9adfec0db074a5832bc0af9218.jpg,"мокрыйасфальт,3л.,левыйруль,автомат,постоянныйполный,"
"Hyundai Tucson , 2020",15989$ ,https://i.cars.kg/preview/r/oxVX2Q_C-vkjqdHLnpWf_Q/1080x-/20231211/0da5347d4fc762d97b1dd8077d9f93db.png,"Внедорожник/Пикап,черный,2.4л.,левыйруль,бензин,автомат,постоянныйполный,"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"МАРКА: VAYAH ⭕ МОДЕЛЬ: FREE, 2023",44000$ ,https://i.cars.kg/preview/r/sRMSB8NL6segot4dAFsTdQ/1080x-/20231211/2b41088e2f160e59fa61251664cd6426.jpg,"Кроссовер,зеленый,1.5л.,левыйруль,гибрид,постоянныйполный,"
"Hyundai Sonata , 2023",21110$ ,https://i.cars.kg/preview/r/ZQXSq4Ba_20I5wQUqiUIwQ/1080x-/20231211/e083a21d729f3543b218ed0719ea1d86.png,"Седан,бордовый,2.5л.,левыйруль,бензин,автомат,передний,"
"Hyundai Sonata , 2021",15913$ ,https://i.cars.kg/preview/r/H_9oknRh8y_ssaOd-Ozbqw/1080x-/20231211/a5501d71545840819541392977fe3af3.webp,"Седан,черный,2.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Hyundai Sonata , 2020",16333$ ,https://i.cars.kg/preview/r/XRSX1D9bnJ5gnC1dEz0y6g/1080x-/20231211/d4da4c8ea5bb2a2890ba6d9fb25b2561.png,"Седан,серебряный,2.5л.,левыйруль,бензин,автомат,передний,"
"Jetour traveller pro+, 2023",36900$ ,https://i.cars.kg/preview/r/je1LVG5zxJYqE5ua2pscaQ/1080x-/20231211/9a27e7ddc49bc1d6bd83830253895853.jpg,"Внедорожник/Пикап,серый,2.0л.,левыйруль,бензин,постоянныйполный,"
"ВАЗ (Lada) 2107 1 поколение Седан , 2010",1903$ ,https://i.cars.kg/preview/r/RKnDag0-juSsWaN7VUUN3g/1080x-/20231211/5ef72234e83012d8314dd9ee17f9c7a4.jpg,"Седан,зеленый,2л.,левыйруль,бензин,механика,задний,"
"Honda Elysion 1 поколение [рестайлинг] Минивэн , 2008",12700$ ,https://i.cars.kg/preview/r/CuVPtU3jdsshiDqjcXponw/1080x-/20231211/cabfcef042cf1dcd7f50c7cec0465b34.jpg,"Минивэн/Бус,белый,2.4л.,левыйруль,бензин,автомат,передний,"
"Lexus RX 3 поколение Кроссовер 5-дв. , 2009",20500$ ,https://i.cars.kg/preview/r/0N0XU1dHZXpIqMePgIfSPg/1080x-/20231211/1db6d93a80b58414375efe66419da6a4.jpg,"Кроссовер,белый,3.5л.,левыйруль,бензин,автомат,полныйподключаемый,"
"Geely MONJARO, 2023",30600$ ,https://i.cars.kg/preview/r/HKh6zgqcI6g_FHH_bz0yhQ/1080x-/20231211/8fea0a0a82204ac81a249d1e7c295396.jpg,"зеленый,2.0л.,левыйруль,бензин,автомат,постоянныйполный,"
"Subaru Forester , 2017",13000$ ,https://i.cars.kg/preview/r/HbAnL-5FOtdtEAS8OO5CPg/1080x-/20231211/07c267cee5fd7365f3af9cf23f74ebce.jpg,"Седан,серебряный,2.5л.,левыйруль,бензин,вариатор,постоянныйполный,"
"Honda , 2003",12000$ ,https://i.cars.kg/preview/r/Oh0gvyPIcPjpmmTqKHNnzQ/1080x-/20231211/6d04e66f65779dfdf0ae9a6f95bf2c22.jpg,"Минивэн/Бус,белый,2.4л.,правыйруль,бензин,автомат,передний,"
"Volkswagen Passat B8 Седан , 2018",18500$ ,https://i.cars.kg/preview/r/DO69kOsfw8LGHrblo13FqQ/1080x-/20231211/90f622b197d221a574dacc14b630302d.jpg,"Седан,белый,2л.,левыйруль,дизель,автомат,передний,"
"Hyundai Elantra , 2023",17208$ ,https://i.cars.kg/preview/r/P0XW-_kiYi5BrJg_6RRBVg/1080x-/20231211/8fea387fd2f1d40df26d4876b8db1532.png,"Седан,черный,2.0л.,левыйруль,бензин,вариатор,постоянныйполный,"
"Lexus GX , 2004",25000$ ,https://i.cars.kg/preview/r/PTanjGoOjugbzUpm4Ndw8A/1080x-/20231211/09dfe00c868e2273e6ee351d6fd590ad.jpg,"Внедорожник/Пикап,белый,4,7л.,правыйруль,бензин,автомат,полныйподключаемый,"
"Hyundai Elantra , 2022",16100$ ,https://i.cars.kg/preview/r/FAIJZ85BlCJez76RDyAUZA/1080x-/20231211/51652d9cab291f3a75dac823f4cc9714.png,"Седан,бордовый,2.0л.,левыйруль,бензин,автомат,постоянныйполный,"
"Hyundai Elantra , 2021",15742$ ,https://i.cars.kg/preview/r/Bk7ns4EeQjZs6ueXKUPUug/1080x-/20231211/67b31d73023259ec25306684f0e83313.png,"Седан,черный,2.0л.,левыйруль,бензин,вариатор,постоянныйполный,"
"Hyundai Elantra , 2020",13463$ ,https://i.cars.kg/preview/r/yJwv9Qj3ZLBdWjx7xc6xlQ/1080x-/20231211/e776bec83f3daaf252c95e77c60d079e.png,"Седан,серебряный,2.0л.,левыйруль,бензин,вариатор,постоянныйполный,"
"Lexus GX 2 поколение Внедорожник , 2010",34000$ ,https://i.cars.kg/preview/r/KHsecMGTunc_f6TwXMLU6A/1080x-/20231211/61ea1e641d3ba0ca02b75f250340fed6.jpg,"Внедорожник/Пикап,белый,4.6л.,левыйруль,бензин,автомат,постоянныйполный,"
"Toyota Camry XV50 [рестайлинг] Седан Camry Vlll(XV70)  , 2018",23500$ ,https://i.cars.kg/preview/r/_TkHnxnD3bP-AtbVF4vLaQ/1080x-/20231211/fa11b0b4843b813a901ab5c3e78c12e8.jpg,"Седан,белый,2.5л.,левыйруль,бензин,автомат,передний,"
"Nissan Pathfinder R50 [рестайлинг] Внедорожник , 2000",6600$ ,https://i.cars.kg/preview/r/91iGhgK8CimlMUvd-W2gyA/1080x-/20231211/0f8ae6cce80f94bb6c2428c2f01ccaf8.jpg,"Внедорожник/Пикап,белыйжемчуг,3.3л.,левыйруль,газ-бензин,автомат,постоянныйполный,"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Lexus RX 2 поколение [рестайлинг] Кроссовер , 2006",15$ ,https://i.cars.kg/preview/r/wOZcQGJDIup5FfmacBQweA/1080x-/20231211/b1e57c894c714336da80dbe2cc6a04f5.jpg,"Кроссовер,белыйжемчуг,3.3л.,левыйруль,гибрид,вариатор,передний,"
"Ravon R4, 2017",7500$ ,https://i.cars.kg/preview/r/dmnPAHNY8qcUkXvxFm0lRw/1080x-/20231210/f71d2bdb25588d2f46702e706ba5b408.jpg,"Седан,белый,1.5л.,левыйруль,бензин,механика,передний,"
"Mazda 626 3 поколение [рестайлинг] Хетчбэк , 1994",2463$ ,https://i.cars.kg/preview/r/MjfxFcJZ-4OnRuj5NK-KDg/1080x-/20231210/2600b090c2272a5231911e0b3d888a35.jpg,"Хэтчбек,бордовый,1.8л.,левыйруль,бензин,механика,передний,"
"Daewoo Matiz M250 [рестайлинг] Хетчбэк , 2009",2575$ ,https://i.cars.kg/preview/r/plQsx-KUn5b9n5_npeURuA/1080x-/20231210/d37703e308e20126a6445244432f97f3.jpeg,"Хэтчбек,бирюзовый,0.8л.,левыйруль,бензин,механика,передний,"
"Kia K7 , 2020",23000$ ,https://i.cars.kg/preview/r/-ATUY0Obu1WWME9yXJHwCw/1080x-/20231210/6b759586c651a91ac2705bb5f4bea3cf.jpg,"Седан,черный,3л.,левыйруль,бензин,автомат,передний,"
"Honda Odyssey 2 поколение Минивэн , 2000",7000$ ,https://i.cars.kg/preview/r/YSpEeBMDVXDh0OLDQ3-l0A/1080x-/20231210/0f2a8b19ff13d855a879d32e1c500069.jpg,"Минивэн/Бус,черный,2.3л.,правыйруль,бензин,автомат,передний,"
"Subaru Crosstrek, 2021",20090$ ,https://i.cars.kg/preview/r/ycCYE4iiLN5ACFmswxFe4A/1080x-/20231210/256d5ba788a51321a9bce97ecc812c60.png,"Внедорожник/Пикап,бордовый,2.5л.,левыйруль,бензин,вариатор,постоянныйполный,"
"Lexus RX 2 поколение Кроссовер , 2004",14500$ ,https://i.cars.kg/preview/r/k27aU2uSYEL1vXHGvrd1_g/1080x-/20231210/08c192c00170cebad4ffe86509e87d69.jpg,"Кроссовер,черный,3.3л.,левыйруль,бензин,автомат,передний,"
"Subaru WRX , 2021",20453$ ,https://i.cars.kg/preview/r/DURy620Dke2RwwSSXsnPLg/1080x-/20231210/d759c0dbf64913eac3f2fe9b782cbe06.png,"Седан,серый,2.0л.,левыйруль,бензин,механика,постоянныйполный,"
"Subaru Outback , 2022",24499$ ,https://i.cars.kg/preview/r/0D0w7Jjdjn933hnks5Wo4A/1080x-/20231210/a1c0080901356a36244b5f753c000e83.png,"Внедорожник/Пикап,серый,2.4л.,левыйруль,бензин,вариатор,постоянныйполный,"
"Subaru Legacy , 2022",24799$ ,https://i.cars.kg/preview/r/-Py6iXUWKbI5yvCy_9D0Rw/1080x-/20231210/2a502a4284b30066268aab9e252c91ba.png,"Седан,серебряный,2.5л.,левыйруль,бензин,вариатор,постоянныйполный,"
"Subaru Forester , 2022",20621$ ,https://i.cars.kg/preview/r/JGvYiHadgah2dwVfnmSvTA/1080x-/20231210/0634a22e658f1c2eb0a90e9f37a8d883.png,"Внедорожник/Пикап,черный,2.5л.,левыйруль,бензин,вариатор,постоянныйполный,"
"Lexus RX , 2021",48956$ ,https://i.cars.kg/preview/r/Ukco291yUfelnc0lbqM8_Q/1080x-/20231210/7c9740943c5aed8da47d438892769c95.png,"Внедорожник/Пикап,белый,3.5л.,левыйруль,гибрид,вариатор,постоянныйполный,"
"Lexus RX , 2021",42021$ ,https://i.cars.kg/preview/r/v6WH5PCOk1n2jXz7yl4dsg/1080x-/20231210/cff666c0cb9ac401f519848e9f5dff09.png,"Внедорожник/Пикап,серебряный,3.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Lexus NX , 2020",26140$ ,https://i.cars.kg/preview/r/GKjIZo_Xnsdn5ZFprQt2nw/1080x-/20231210/b7014eaa380ef0a9b4386ff11ff9cf96.png,"Внедорожник/Пикап,белый,2.0л.,левыйруль,бензин,автомат,постоянныйполный,"
"Lexus IS , 2019",21934$ ,https://i.cars.kg/preview/r/LapmosUHLt9dNta38SfQow/1080x-/20231210/dd78e7dae43f7cdbc314eac90d9bbf53.png,"Седан,серебряный,3.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Nissan Cedric Y34 Седан , 2002",4500$ ,https://i.cars.kg/preview/r/PVOPP2MEFKKAvgGrN69bZA/1080x-/20231210/25f59702bdc5d5dcda37ca6346f8cbcb.jpg,"Седан,2.5л.,правыйруль,бензин,автомат,задний,"
"Lexus ES , 2022",34638$ ,https://i.cars.kg/preview/r/_EYoczB_RF-EDZqEy4GnkA/1080x-/20231210/bb2f36d15f19b85d2af776aef96fbb90.png,"Седан,серебряный,2.5л.,левыйруль,гибрид,вариатор,передний,"
"Hyundai Tucson , 2019",17843$ ,https://i.cars.kg/preview/r/_iB19bG0CdHbxsrvNe_2oQ/1080x-/20231210/82e2d4f41673588881398534bbee9831.png,"Внедорожник/Пикап,бирюзовый,2.4л.,левыйруль,бензин,автомат,постоянныйполный,"
"Hyundai Santa Fe , 2020",18249$ ,https://i.cars.kg/preview/r/AsR145orjgfLfQyFEH3jAg/1080x-/20231210/070162cb8a52ad626505d265f489d38d.png,"Внедорожник/Пикап,бордовый,2.4л.,левыйруль,бензин,автомат,постоянныйполный,"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Toyota Highlander , 2021",32745$ ,https://i.cars.kg/preview/r/LslUXpLh03_evhpbZc1ICw/1080x-/20231210/d243873d09aff85963bdff42634e409b.png,"Внедорожник/Пикап,мокрыйасфальт,3.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Toyota RAV4 , 2020",20283$ ,https://i.cars.kg/preview/r/49aS_OtsN1nHkfYU2swZrQ/1080x-/20231210/16494ca839b2afc980343e84a548f384.png,"Внедорожник/Пикап,черный,2.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Toyota Yaris XP9 [рестайлинг] Хетчбэк 5-дв. , 2009",8700$ ,https://i.cars.kg/preview/r/Lg2x9qszhytUEjQMStuGfg/1080x-/20231210/1b80adb19eab721857daa3d20cd301c9.jpeg,"Хэтчбек,зеленый,1.3л.,левыйруль,бензин,автомат,передний,"
"Toyota Camry , 2020",20880$ ,https://i.cars.kg/preview/r/d7ACilXoBMOd0UL6qcyWgA/1080x-/20231210/553b7447d1bf95991039997778dca506.png,"Седан,черный,2.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Toyota Camry , 2019",25159$ ,https://i.cars.kg/preview/r/pmSgOqAycRo9L9isyJLGvA/1080x-/20231210/83bb25ceb3632a7090d4de7f09a13858.png,"Седан,белый,2.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Toyota Camry , 2020",17300$ ,https://i.cars.kg/preview/r/yGYjWtZuoyVF_Em6w5GxGA/1080x-/20231210/21d16620b946b96dc796da715df24be0.png,"Седан,темно-синий,2.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Toyota Camry , 2020",25299$ ,https://i.cars.kg/preview/r/EjkziNcfZ4E0ah5xen6EPw/1080x-/20231210/4a43afc485f26935f28607147e6e9c90.png,"Седан,белый,2.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Toyota 4Runner , 2023",34449$ ,https://i.cars.kg/preview/r/18LoyTgo6V9cA245Qd7dww/1080x-/20231210/834419e25de106c79ad65c1a54107f2c.png,"Внедорожник/Пикап,черный,4.0л.,левыйруль,бензин,автомат,постоянныйполный,"
"Kia Sorento , 2022",25725$ ,https://i.cars.kg/preview/r/lPHYad0mgpN7tz5zzB3Hag/1080x-/20231210/98a04d8833abe800a55d00b1d196cda6.png,"Внедорожник/Пикап,серебряный,2.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"Kia K7 , 2017",17000$ ,https://i.cars.kg/preview/r/Dnm5aY8lmeOy0vWmaoqG3w/1080x-/20231210/cc419b89af098c8c17e8a4912dc478f0.jpg,"Седан,черный,2.4л.,левыйруль,бензин,автомат,передний,"
"Kia K5 , 2021",18204$ ,https://i.cars.kg/preview/r/T2wUayCMKIh1GLSHDnJRaA/1080x-/20231210/cc45e13e2f0bcc83de68bf9a5a9ed048.png,"Седан,белыйжемчуг,2.0л.,левыйруль,бензин,автомат,передний,"
"Kia Carnival , 2022",32130$ ,https://i.cars.kg/preview/r/26tv-wIQZWoUgRmH4EHAag/1080x-/20231210/0e455239af063de731b15798b232d76d.png,"Минивэн/Бус,серый,3.5л.,левыйруль,бензин,автомат,передний,"
"Hyundai Sonata , 2021",20618$ ,https://i.cars.kg/preview/r/NEQPdswia4AaZfoQI2SqNw/1080x-/20231210/653041eb9c22010eb5831dbc525e4280.png,"Седан,серый,2.5л.,левыйруль,бензин,автомат,передний,"
"Honda Stream 1 поколение Минивэн , 2003",5933$ ,https://i.cars.kg/preview/r/UggUdojpIoYELNSuW1uyWQ/1080x-/20231210/9cd11ceaf2a37b733148acb11ff5a873.jpg,"Минивэн/Бус,бордовый,1.7л.,левыйруль,бензин,механика,передний,"
"BMW X7, 2020",59833$ ,https://i.cars.kg/preview/r/CmiaDc31Avkd04zxzOcekA/1080x-/20231210/45167bbbb2bd02b1143150783f388cf9.png,"Внедорожник/Пикап,черный,3.5л.,левыйруль,бензин,автомат,постоянныйполный,"
"BMW X6 , 2020",44723$ ,https://i.cars.kg/preview/r/qnsHsx8H1YxHRGHcrZqalw/1080x-/20231210/2262d2f4cd3d2e2c34ea9e909b90a235.png,"Внедорожник/Пикап,дипломат,4.4л.,левыйруль,бензин,автомат,постоянныйполный,"
"BMW X5 , 2020",51646$ ,https://i.cars.kg/preview/r/Ze3H5djPEGMZjebtjjtQkg/1080x-/20231210/dac54deccf036cec7d2f4e2b33eef628.png,"Внедорожник/Пикап,черный,3.0л.,левыйруль,бензин,автомат,постоянныйполный,"
"BMW 7 серия , 2020",43368$ ,https://i.cars.kg/preview/r/g75nEzJwp-Acv7QNoN9V9w/1080x-/20231210/bf57a2f4200d8223ae8a9e267e7e804e.png,"Седан,черный,4.4л.,левыйруль,бензин,автомат,постоянныйполный,"
"BMW 4 серия , 2019",15445$ ,https://i.cars.kg/preview/r/DbEHIzyTXn_B4DXom2rF0w/1080x-/20231210/f0b3629176f3d3470080f546670c99a0.png,"Седан,черный,2.0л.,левыйруль,бензин,автомат,постоянныйполный,"
"BMW 3 серия , 2018",17119$ ,https://i.cars.kg/preview/r/z20iqlzVXjrKkZM2jdisgw/1080x-/20231210/25a980df83338a914514bfaf066b5225.png,"Седан,черный,2.0л.,левыйруль,бензин,автомат,задний,"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Volkswagen Passat B3 Седан , 1988",2630$ ,https://i.cars.kg/preview/r/SNngxZX4nw4SmEtUE300_Q/1080x-/20231210/25da890254ddee4003592de130202ff6.jpg,"Седан,серый,1.8л.,левыйруль,бензин,механика,передний,"
"BMW 5 серия , 2019",20500$ ,https://i.cars.kg/preview/r/Q3OfKy9fn3_3U6yepzjdVA/1080x-/20231210/915ec9081dd571028b158d717f51a239.png,"Седан,темно-синий,2л.,левыйруль,автомат,задний,"
